,spotid,spotname
21836,2377,Per Se
21922,510,Starbucks
22025,39,Christopher Columbus Memorial
22038,1740,AQ Kafé
22072,436,Bolívar Plaza
22101,1899,Staples
22127,1455,Ritz-Carlton
22141,1192,Whiskey Trader
22144,2082,Shelly's Trattoria
22151,570,Dashing Diva
22157,354,Za Za
22167,2045,EE
22169,1501,Emack & Bolio's
22171,1036,Eddie's Market
22173,1798,Chase Bank
22178,1826,Mansion Diner
22185,1800,Bagel Bob
22186,2090,Steven by Steve Madden
22203,2269,Sugar Sweet Sunshine
22209,2086,Economy Candy
22256,1594,Verlaine
22258,2270,Kinski
22269,559,Babycakes
22273,1995,Sunita Bar
22295,2287,88 Orchard
22303,1841,Jin
22313,953,Starbucks Coffee
22328,2282,Essex Street Market
22331,2268,Saxelby Cheesemongers
22372,2088,Tenement Museum
22381,766,Gallery Bar
22386,891,Shopsin's
22473,426,The Grey Dog's Coffee
22477,1497,Strip House 
22481,1385,Gotham Bar And Grill
22487,2284,El Cantinero
22502,2117,Carnival
22506,1125,PPOW
22509,1727,Cafeteria
22513,132,Mixed Greens
22526,1458,Starrett Lehigh Building
22562,1082,McGarryBowen
22638,126,Frying Pan
22890,214,"Apple Store, West 14th Street"
22898,2076,The Diner
22918,1656,Mesa Grill
22919,2317,Borgo Antico
22948,2357,Agnes And Eva's Tasty Goods
23006,1074,Momofuku Milk Bar
23016,1373,Finnerty's
23023,7,Worlds Fair Marina Restaurant
23029,825,Old Homestead Steak House
23033,2051,Mexicana Mama
23053,1010,Bowlmor Lanes - Union Square
23073,852,Spice
23084,1513,ACME Jones Street
23093,1749,Juicy Couture
23134,1174,TBWA / Chiat / Day
23156,1248,Apollo Theater
23169,1602,Toast
23188,164,The Frick Collection
23200,1825,Gucci
23240,116,Tekserve
23281,736,Carmine's
23290,398,McDonald's
23320,1250,Millenium Broadway Hotel
23335,742,American Eagle Outfitters
23363,1667,Palace Theatre
23406,740,HAIR at the St. James Theatre
23498,1483,MTV Networks
23507,738,Sardi's Restaurant
23516,741,Gerald Schoenfeld Theatre
23529,1533,Music Box Theatre
23558,1535,Booth Theatre
23568,460,Rosie O'Gradys
23576,422,Stage Deli
23614,156,DBGB
23618,231,Desnuda
23620,665,Polonia Restaurant
23628,1070,Hotel East Houston
23636,1622,One and One
23639,1302,Shang
23650,1117,Sugar Cafe
23663,1531,Wildwood
23669,1212,Homes Kitchen
23675,1178,Wichcraft
23681,1376,Calvary Episcopal Church
23690,1334,Goodburger
23696,1323,Le Pain Quotidien
23701,1183,Mari Vanna
23707,169,Birthplace of Theodore Roosevelt
23716,1375,Big Daddy's Diner
23725,1423,Burson Marsteller 230 Park Ave South
23732,1518,The Theaters At 45 Bleeker Street
23741,227,International Bar
23754,1104,11th Street Bar
23761,870,Dallas BBQ
23774,867,Blue Owl
23782,669,Abraco Espresso
23791,802,Table 12
23806,367,Ost Café
23815,685,Hummus Place
23870,410,Veselka
23872,1076,Mamanis
23878,929,Stogo Ice Cream
23890,932,Liquiteria
23894,1108,Under St. Marks
23911,1102,Lunasa
23929,1337,Dumpling Man
23932,864,Thai Terminal
23935,732,Local Clothing
23942,1268,Rai Rai Ken
23960,863,Motorino
23964,1218,Skyline Hotel
23975,232,37 Arts
23983,318,Hudson Yards Café
23999,1138,Target
24143,1071,Holland Tunnel
24154,1056,Sweet Revenge
24194,731,The Blind Tiger
24205,1079,Bleecker Street Pizza
24210,452,Public House
24234,879,Roasting Plant
24238,454,Fantasy World
24244,141,LGBT Center
24250,124,Dance Theater Workshop
24261,621,Tamarind
24304,661,Digitas
24327,976,Baogette
24332,927,Mexico Lindo
24336,985,Gramercy Green
24340,1045,Best Wingers
24345,1189,Greenhouse
24346,807,Barista Express Soho
24348,841,American Eagle Outfitters
24371,1081,Delicatessen
24378,780,Jamba Juice
24389,1143,Warren 77
24393,969,Souen
24408,586,Soho Square
24411,659,Image Space Media
24420,735,American Airlines Theatre
24434,882,Parsons - The New School for Design
24446,679,Jimmy's Corner
24452,790,KickApps
24456,1013,Provance
24463,883,Hale And Hearty Soup
24474,672,BXL Café
24491,774,Aureole
24510,96,HBO Headquarters
24519,486,Plug Uglies
24535,495,Fish's Eddy
24552,630,City Crab & Seafood Co
24578,466,Starbucks Coffee
24610,170,Gramercy Tavern
24619,635,Chipotle
24658,591,Republic
24705,666,71 Irving
24714,850,NYU Palladium Gym
24720,984,Shades Of Green
24790,909,Trader Joe's
24806,395,Village Pourhouse
24854,637,McSorley's Old Ale House
24865,1014,Vive la Crêpe
24872,944,Crash Mansion
24890,145,Avery Fisher Hall
24897,606,40/40 Club
24917,493,Resto
24924,604,Next New Networks
24938,523,Starbucks Coffee
25047,600,Manhattan Mall
25056,333,DanceSport
25081,199,Rattle N Hum
25085,324,Crooked Knife
25114,576,Heartland Brewery
25123,355,Wine:30
25143,476,ilili
25145,186,NY Comedy Club
25147,702,Hangawi
25171,210,Hotel Roger Williams
25199,633,Nita Nita
25203,936,Pentatonic
25210,543,Pierogi
25226,494,The Gutter
25250,463,Brooklyn Label
25253,468,ALTER
25256,934,EAT
25263,191,Crowe's Nest
25287,286,Equinox
25290,285,Candle Cafe
25300,391,Taco Taco
25306,862,Dentist
25321,808,Johnny Rockets
25336,1345,Maru Maru
25351,375,Borders
25354,768,The Churchill
25412,41,Grand Hyatt New York
25449,776,JWT
25454,379,The UPS Store
25478,775,Pershing Square
25498,753,Starbucks
25510,853,Stand 
25514,527,Guitar Center
25606,789,AOL HQ
25691,138,Strand Bookstore
25695,501,OC East
25709,296,Recess
25710,292,Schematic
25726,381,The Urge
25803,424,Lombardi’s Pizza
25811,456,Quartino
25836,432,Freemans
25841,602,Elizabeth
25905,87,Whitney Museum of Art
25921,106,The Carlyle Hotel
25934,754,"Barnes & Noble, Citigroup Center"
25974,317,Lily's Restaurant
26063,458,Waldorf-Astoria Hotel
26084,413,Intercontinental Hotel
26092,483,Cafe Metro
26095,662,Silicon Valley Bank
26108,262,Sony Tower (formerly the AT&T Building)
26111,734,Hilton Theatre
26201,389,Herald Square
26211,321,Redeemer Presbyterian Church
26226,757,CUNY 
26241,626,MAC Cosmetics HQ
26256,599,Silver Center
26380,339,Union Square Greenmarket
26395,605,Starbucks Coffee
26409,663,Brooklyn Diner
26416,568,Ripley's Believe It Or Not Odditorium
26430,567,B.B. King Blues Club & Grill
26452,649,THE LION KING at the Minskoff Theatre
26469,374,Starbucks Coffee
26545,648,Marriott New York Marquis
26610,47,Hard Rock Cafe
26618,521,Bank of America
26640,569,Madame Tussauds
26650,529,Starbucks Coffee
26682,651,Planet Hollywood New York
26711,647,Best Buy Theater
26735,646,Bubba Gump Shrimp Co
26740,573,Starlite Deli
26761,645,MARY POPPINS at the New Amsterdam Theatre
26786,653,ABC Studios
26893,652,"Toys ""R"" Us"
26902,660,Cornelia Street Cafe
26909,589,Jekyll & Hyde
26926,453,Morandi
26944,638,Marie's Crisis
26955,587,Caliente Cab Company
26973,399,Red Bamboo
26991,514,Peanut Butter & Co.
27007,632,Minetta Tavern
27013,631,Shade Bar
27015,522,Red Flower
27016,624,Tools For Living
27239,197,"Apple Store, SoHo"
27249,448,Olive's
27260,614,Little Branch
27271,220,Blue Ribbon Bakery
27290,588,Five Guys 
27303,451,The Riviera Cafe
27324,534,NYU Kimmel Center
27339,612,Bleecker Playground
27349,455,Rich Dude's House
27352,590,Biography Bookshop
27360,288,Radical Media
27385,335,Ear Inn
27395,585,Statue Of Juan Pablo Duarte
27405,282,Bread Tribeca
27445,508,Tribeca Grand Hotel
27448,610,Cole Haan
27464,583,Gourmet Garage
27478,336,Calexico Burrito Cart
27512,387,La Colombe Torrefaction
27530,475,McNally Jackson Books
27562,446,Dean & Deluca
27565,397,Undercurrent
27568,444,OMGpop HQ
27607,378,'wichcraft
27610,130,Cohen's Optical
27705,400,Whole Foods Market (Union Square)
27709,560,lululemon athletica - Union Square
27729,406,Gandhi Statue
27749,411,Triumphant Washington
27797,309,Momofuku Ssäm Bar
27999,1615,Museum of Arts and Design
28065,1016,IFC Center
28259,1047,Mood Fabrics
28329,1657,Valhalla
28428,258,Trump Tower
28449,2393,Lindy's
28536,27,Staten Island Ferry
28580,13,Castle Clinton National Monument
28603,24,The Sphere
28614,22,4 World Trade Center
28624,21,5 World Trade Center
28654,20,1 World Trade Center
28752,38,Time Warner Center
28819,63,Ellis Island
28943,55,Statue of Liberty
29076,14,Battery Park
29130,69,Statue of Liberty Ferry
29140,558,Cafe Fiorello
29172,37,Trump International Hotel & Tower New York
29346,2246,Columbus Circle
29362,2379,Sustainable NYC
29466,198,Katz's Delicatessen
29495,1807,Jean Georges
29714,1051,Café Grumpy
29724,136,Lolita
29743,1891,Skylight Diner
29777,892,Starbucks
29851,778,The Roger Smith Hotel
29859,2003,LQ New York
29958,677,"Intrepid Sea, Air & Space Museum"
30374,143,Rockefeller Center
30676,1053,Greeley Square Park
30703,218,Think Coffee
30772,2230,NYU Stern School of Business
30796,992,Tonic Bar
30812,2197,Playwright Tavern
31049,142,Radio City Music Hall
31225,252,Foursquare HQ
31252,440,B Bar and Grill
31374,155,Bloomberg HQ
31407,1580,El Beit
31421,1819,Permanent Brunch & Burger [NOW CLOSED]
31440,1839,Bar None
31617,2422,Hilton New York
31661,308,Magnolia Bakery
31786,2009,Top of the Rock
31830,1328,Otto Enoteca Pizzeria
31938,44,'wichcraft
32004,1382,Craftsteak
32022,435,The Park
32050,1380,Morimoto
32094,1733,CBS
32211,1947,Terminal 3 at JFK
32330,2371,Terminal 7 at JFK
32448,412,Terminal 8 at JFK
32501,2193,The Manhattan at Times Square
32703,931,Terminal 1 at JFK
32771,1787,Momofuku Noodle Bar
32807,82,Roosevelt Island Tram ~ East Station
33114,477,Columbia University
33386,1468,The Old Print Shop
33410,1488,Penelope
33452,2255,Live Bait
33507,2432,New York Life Building
33593,358,Hotel Chelsea
33883,1461,Brooklyn Promenade
33888,1737,Senator Robert F. Kennedy Sculpture
33922,1910,TED
33930,1176,Purl Soho
33944,70,Dana Discovery Center
34102,270,Statue of Atlas
34117,655,Banana Republic
34149,73,Umpire Rock
34220,247,Serendipity 3
34299,84,Bloomingdale's
34330,135,wd~50
34352,1728,Essex
34368,1216,Harry Winston Jewelers
34406,71,Heckscher Playground
34426,1754,Cafe Boulud
34569,86,St. Patrick's Cathedral
34603,1128,"H&M, Rockefeller Center"
34621,2321,Palace Hotel
34678,148,Time & Life Building
34710,722,Steve Madden
34808,1627,Think Coffee
34888,1600,Kidrobot
34927,2116,Canal Room
34970,1297,Tribeca Tavern
34995,1026,Landmarc
35020,2104,American Apparel
35519,575,Campfire NYC
35663,401,Food Network
35709,791,Tick Tock Diner
35877,910,Jacob K. Javits Convention Center
35940,40,United Nations
35967,332,New York City Center
35980,995,Walter Kerr Theatre
36002,739,Majestic Theatre
36070,2191,Boxee HQ
36080,1748,Ennju
36198,1232,"Barnes & Noble, Union Square"
36446,1603,Charging Bull
36467,23,7 World Trade Center
36474,188,Ladder 10 Firehouse 
36520,795,Century 21 Department Store
36552,60,Ellis Island Immigration Museum
36558,1154,Colgate Clock
36766,1907,Caffe Reggio
36811,1485,Mercer Hotel
36845,1252,The Bowery Hotel
36947,1119,Starbucks
36989,2224,Starbucks - E51st
37091,2461,Rainbow Room
37121,1452,LOVE
37194,1207,Le Parker Meridien
37262,965,Carnegie Hall
37327,966,Carnegie Deli
37400,49,Ed Sullivan Theatre
37503,50,Winter Garden
37508,1949,Elle Magazine
37542,45,Bank of America Tower
37810,244,M&M's World
37896,1092,Facebook New York
37947,743,tkts (Discount Theatre)
38106,195,Robert F. Kennedy / Triboro Bridge
38147,1980,HOW TO SUCCEED at the Al Hirschfeld Theater
38170,1734,Starbucks Coffee
38252,1190,Gansevoort Hotel
38448,166,George Washington Bridge
38708,1317,Lincoln Tunnel (NJ Side)
39150,8,Yankee Stadium
39274,319,Jamaica LIRR Station
39308,77,Junior's
39314,1425,Central Synagogue
39328,1703,Manhattan Center
39344,1724,Lucy's Cantina Royale
39362,1136,Hammerstein Ballroom
39374,1709,diggNATION
39383,1342,Niles
39390,1710,New Pizza Town II
39399,1697,A&E Television Networks
39403,1693,Taipei Economic And Cultural Office
39406,1683,Sushi Time
39423,1413,Red Mango
39433,1019,Garrett Popcorn Shops
39465,200,Hotel Pennsylvania
39481,184,11 Madison
39500,1306,Madison Square Park Playground
39511,1327,Affinia Manhattan
39553,779,W Hotel
39584,935,The Kabbalah Centre
39588,1476,BusinessWeek
39595,994,Virgin records
39606,1296,Pigalle
39616,1475,St. Bartholomew's Church
39792,1100,Tom & Jerry's
39799,978,Ninth Street Espresso
39904,25,Battery Gardens
39938,102,Trailer Park Lounge
39956,115,Murray's Bagels
39960,137,Appellation Wine & Spirits
39975,289,I Tre Merli Bistro
39981,419,Greenwich Letterpress
40013,163,The Stonewall Inn
40017,331,Playground Of The Americas
40020,129,Milady's
40031,243,Pravda
40036,211,Temple Bar
40045,1729,Hotel Giraffe
40052,1706,Convivio
40200,2419,Starbucks
40210,975,FIKA espresso bar
40214,2415,Tim Hortons
40219,1735,New York Film Academy
40224,2349,No. 28
40236,2323,The Marcel At Grammercy
40246,1277,Benjamin Hotel
40274,1479,Carlton Hotel
40334,425,Vynl
40352,294,BBDO Worldwide
40381,1271,Gordon Ramsay at The London
40487,1539,Therapy
40515,512,44 & X
40626,622,B&H Photo and Video
40636,1571,Hampton Inn 
40661,1,New York Botanical Garden
40817,72,Heckscher Ballfields
40988,1358,Grom
41039,572,NYU Bobst Library
41083,1723,Legends
41116,1333,Blue Smoke
41189,636,Hoboken Terminal
41230,356,Dos Caminos
41246,542,Isham Park
41266,2455,Old Town Bar
41316,1708,230 Fifth
41365,1532,House Of Brews
41620,201,Newark Penn Station
41771,429,Riverside Square Mall
41939,4,Citi Field
41971,35,Izod Center
42018,1313,Wellmont Theatre
42083,171,Ristorante Babbo
42091,215,Café Café
42115,1091,D.J. Reynolds Pub & Restaurant
42166,1516,Rodeo Bar
42177,0,The Box
42191,128,Apotheke
42293,2118,The Standard Grill
42372,1332,i Trulli
42413,242,Café Habana
42455,54,Alexandre Gustave Eiffel
42612,1144,Ciao Resturaunt
42664,701,Piano's
42689,1541,Simone
42789,1545,IKEA
42833,1549,7A
42858,15,Bowling Green
42892,1236,John's Pizzeria
42940,2164,Doc Holliday's
42944,871,Virage
43039,1954,Pegu Club
43047,2060,East Side Social Club
43052,1238,Bourbon Street
43057,1776,Wired Store
43114,442,Millenium Hilton
43128,900,Roc
43133,2132,Manhattan Place
43230,167,Verrazano-Narrows Bridge
43279,2392,Queens Place Mall
43306,1443,Whitestone Bridge
43324,6,Flushing Meadows Corona Park
43358,1421,Grounded
43429,2285,Equinox
43518,1135,Max Brenner
43535,2307,Helen Mills Event Space
43544,1653,Crumbs
43567,305,Equinox
43588,182,New Rochelle Station
43606,1066,Frederick P. Rose Hall
43654,1597,Starbucks
43667,1214,Starbucks
43714,464,Starbucks
43798,341,Saks Fifth Avenue
43804,88,Ralph Lauren Polo Flagship 
43818,2137,Le Pain Quotidien
43827,1257,Banc Cafe
43906,254,TAO
43923,1254,ABC News
44027,1001,Staten Island Ferry
44219,1526,Rosa Mexicana
44493,1450,Marriott Residence Inn
44539,1037,"Barnes & Noble, Fifth Avenue"
44612,1544,Bolt Bus Stop
44666,1726,The Ginger Man
44674,1240,Adega Bar And Grill
44683,549,Holsten's
44702,1442,Just Jakes
44712,1139,Raymond's
44866,1310,Whole Foods
44893,674,Starbucks
44909,1753,Elevation Burger
44937,2343,Scandinavia House
44945,513,Walnut Street Station
44949,673,Comb
44962,404,Hallo Berlin
44987,2152,The Pony Bar
45008,1768,Corrado Bread & Pastry Cafe
45103,2407,Gristedes
45112,762,US Postal Service Office
45141,415,Hunter College
45177,1999,Art Bar
45249,1785,Lexington Armory
45326,2170,Borders
45372,1231,Zibetto Espresso Bar
45396,1543,Starbucks
45409,1453,Jekyll And Hyde Club
45435,1033,FIKA espresso bar
45450,97,Nobu
45461,366,Paris Theater
45480,1900,Buckingham Suites
45483,2025,eBay Holiday Popup Store
45509,255,Louis Vuitton
45517,1430,Sony Music - D2C
45536,259,Playboy Enterprises HQ
45647,261,590 Madison Avenue
45672,2308,Lexington Avenue—53rd Street Station
45714,2068,American Girl Place
45740,2368,Two Boots (Grand Central)
45910,1878,Barnes & Noble
45934,1633,Bay Plaza
45979,2083,Serafina Fabulous Grill
46002,235,Roscoe Conkling
46015,2106,Così
46030,127,Design Within Reach
46073,271,Olympic Tower
46094,256,Bergdorf Goodman Mens Store
46102,2123,Eat Here Now
46139,993,Hershey's Times Square
46169,806,News Corporation
46215,896,Bubby's
46298,1873,Café Select
46306,1893,Joseph Leonard
46417,2075,Tompkins Square Park Playground
46466,2380,Luke's Bar and Grill
46473,2055,Bobo
46507,423,North Cove Marina
46523,373,Pier 83
46536,372,Gray's Papaya
46538,365,Doubletree Hotel Jersey City
46632,1777,Betaworks
46671,1319,Cha Cha's
46735,2033,The Hudson Hotel
46820,1072,El Centro
46835,187,Teuscher
46862,1659,Kellari Taverna
46940,2280,Lunch Box
46951,206,Morning Star Restaurant
47013,236,Houndstooth Pub
47094,276,Chelsea Piers Golf Club
47211,1794,92Y Tribeca
47292,657,La Colombe Torrefaction
47308,1505,Starbucks
47375,2448,Moomah Cafe
47391,1803,Trattoria Cinque
47541,1974,Sunshine Suites
47552,274,Starbucks Coffee
47581,1850,White Star
47600,752,Dag Hammarskjöld Plaza
47620,751,Tudor City Greens
47644,2370,TopShop
47661,1454,B Cup Cafe
47694,28,One New York Plaza
47765,1838,Long Island Expressway
47836,1490,Queensboro Plaza Station
47847,2452,Duane Reade
47856,781,Pret A Manger
47874,1582,Chorus Karaoke
47916,1276,Fanelli's Cafe
47945,1809,Bleeker Bar
47984,1075,Co.
48051,1833,Dang Lai Palace
48087,2482,Gem Chelsea Hotel
48166,681,AMC Loews Lincoln Square 13
48202,202,Hope Garden
48238,526,Wendy's
48266,222,New York Hotdog & Coffee
48332,1993,Madam Geneva
48362,943,Dos Caminos
48401,1315,The Ainsworth
48422,1196,New York Presbyterian Hospital
48430,686,United Palace
48432,548,Dunkin' Donuts
48437,767,Aki Japanese Cuisine
48440,1680,World Headquarters Club ABC
48452,1484,Sutton Plaza
48453,1766,Dunkin' Donuts
48455,729,Passionné
48461,794,Manganaro Grosseria Italiana
48476,1320,Hell's Kitchen
48479,537,Boi Na Brasa
48528,498,Prudential Center
48535,536,Mompou
48541,547,Tick Tock Diner
48659,1489,Dunkin' Donuts
48735,1552,Gemini Diner
48787,2023,St. Vartan Park
48876,1500,AMC Loews Kips Bay 15
48999,347,School of Visual Arts
49032,2218,202 Spring Street
49154,83,Roosevelt Island Tram Station (West)
49172,2161,Todaro Bros. Specialty Foods
49180,2261,Saint Vartan's church
49205,2339,The News Building
49209,1230,Ad Council
49214,2338,WPIX - Channel 11
49281,1990,Geraldine Schottenstein Cultural Center
49447,1440,The Devon
49451,1991,El Parador Cafe
49603,2066,Queens Library
49707,31,Pace University
